ID,Name,Brand,Designer,Availability,Online,Description,Type,Material,Country,Color,Depth,Height,Width,Volumn,OldPrice,Price,ChangeAmount,Discount,CurrentPrice,Shipment,Link,Images,Feedback,Ranking
70248564,SUNDVIK,SUNDVIK,IKEA of Sweden,TRUE,TRUE,"        Cot,          60x120 cm",Nursery furniture,,,,,85,67,0,,695,,,,,https://www.ikea.com/sa/en/p/sundvik-cot-grey-brown-70248564/,,0,0
9149879,VALLENTUNA,VALLENTUNA,Fredriksson/L Löwenhielm/Hilland,TRUE,TRUE,        Sofa-bed module,Beds,,,,100,45,80,360000,,1160,,,,,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-hillared-dark-grey-s09149879/,,0,0
89243929,PAX,PAX,IKEA of Sweden/Andreas Fredriksson/Ehlén Johansson,TRUE,TRUE,"        Wardrobe,          200x66x236 cm",Wardrobes,,,,66,236,200,3115200,,3885,,,,,https://www.ikea.com/sa/en/p/pax-wardrobe-white-fjellhamar-dark-bamboo-s89243929/,,0,0
385314,SANDARED,SANDARED,Synnöve Mork,TRUE,TRUE,"        Pouffe,          45 cm",Sofas & armchairs,,,,,33,,0,,245,,,,,https://www.ikea.com/sa/en/p/sandared-pouffe-beige-00385314/,,0,0
59135648,SÖDERHAMN,SÖDERHAMN,Ola Wihlborg,TRUE,TRUE,        Armchair,Chairs,,,,99,83,105,862785,,1425,,,,,https://www.ikea.com/sa/en/p/soederhamn-armchair-finnsta-turquoise-s59135648/,,0,0
39227837,UTÅKER,UTÅKER,IKEA of Sweden/Henrik Preutz,TRUE,TRUE,"        Stackable bed with 2 mattresses,          80x200 cm",Beds,,,,,2,83,0,,1285,,,,,https://www.ikea.com/sa/en/p/utaker-stackable-bed-with-2-mattresses-pine-moshult-firm-s39227837/,,0,0
30128629,STUVA,STUVA,Ebba Strandmark,TRUE,TRUE,"        Bench,          90x50x50 cm",Children's furniture,,,,50,50,90,225000,,175,,,,,https://www.ikea.com/sa/en/p/stuva-bench-white-30128629/,,0,0
99014376,MELLTORP / ADDE,MELLTORP / ADDE,Marcus Arvonen/Lisa Norinder,TRUE,TRUE,"        Table and 4 chairs,          125 cm",Tables & desks,,,,,72,75,0,,359,,,,,https://www.ikea.com/sa/en/p/melltorp-adde-table-and-4-chairs-white-s99014376/,,0,0
79129986,GJÖRA,GJÖRA,Monika Mulder/IKEA of Sweden,TRUE,TRUE,"        Bed frame,          140x200 cm",Beds,,,,,,154,0,,1640,,,,,https://www.ikea.com/sa/en/p/gjoera-bed-frame-birch-leirsund-s79129986/,,0,0
30397080,GRÖNLID,GRÖNLID,Francis Cayouette,TRUE,TRUE,        Cover for chaise longue section,Sofas & armchairs,,,,,,,0,,295,,,,,https://www.ikea.com/sa/en/p/groenlid-cover-for-chaise-longue-section-ljungen-light-green-30397080/,,0,0
40226790,UPPLEVA,UPPLEVA,IKEA of Sweden,TRUE,TRUE,"        Wall bracket for TV, tilt/swivel,          19-32 """,Cabinets & cupboards,,,,,,,0,,145,,,,,https://www.ikea.com/sa/en/p/uppleva-wall-bracket-for-tv-tilt-swivel-40226790/,,0,0
90349005,EKET,EKET,Jon Karlsson,TRUE,TRUE,"        Underframe,          70x25x10 cm",Bookcases & shelving units,,,,24,10,69,16560,,75,,,,,https://www.ikea.com/sa/en/p/eket-underframe-birch-90349005/,,0,0
29257066,LIDHULT,LIDHULT,IKEA of Sweden/Henrik Preutz,TRUE,TRUE,        2-seat sofa-bed,Beds,,,,98,102,208,2079168,,4040,,,,,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-lejde-grey-black-s29257066/,,0,0
20396260,GRÖNLID,GRÖNLID,Francis Cayouette,TRUE,TRUE,        Cover for corner section,Sofas & armchairs,,,,,,,0,,170,,,,,https://www.ikea.com/sa/en/p/groenlid-cover-for-corner-section-inseros-white-20396260/,,0,0
50409044,LISTERBY,LISTERBY,Henrik Preutz,TRUE,TRUE,"        Side table,          50 cm",Tables & desks,,,,,56,,0,,395,,,,,https://www.ikea.com/sa/en/p/listerby-side-table-brown-50409044/,,0,0
60294797,HANVIKEN,HANVIKEN,Marcus Arvonen,TRUE,TRUE,"        Drawer front,          60x26 cm",Bookcases & shelving units,,,,,26,60,0,,50,,,,,https://www.ikea.com/sa/en/p/hanviken-drawer-front-black-brown-60294797/,,0,0
59277119,BILLY / BOTTNA,BILLY / BOTTNA,K Hagberg/M Hagberg,TRUE,TRUE,"        Bookcase with display shelf,          40x28x202 cm",Bookcases & shelving units,,,,28,202,40,226240,,235,,,,,https://www.ikea.com/sa/en/p/billy-bottna-bookcase-with-display-shelf-white-beige-s59277119/,,0,0
50411990,GLADOM,GLADOM,Chenyi Ke,TRUE,TRUE,"        Tray table,          45x53 cm",Tables & desks,,,,,53,,0,,59,,,,,https://www.ikea.com/sa/en/p/gladom-tray-table-black-50411990/,,0,0
