Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
1537,59254170,INGATORP / INGOLF,Chairs,2725,No old price,TRUE,https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-black-nolhaga-grey-beige-s59254170/,No,"        Table and 4 chairs,          110/155 cm",Ebba Strandmark/Carina Bengs,,74,87
2769,70294339,LISABO,Tables & desks,695,No old price,TRUE,https://www.ikea.com/sa/en/p/lisabo-table-ash-veneer-70294339/,No,"        Table,          140x78 cm",K Hagberg/M Hagberg,,74,78
2889,39306288,LERHAMN,Tables & desks,589,No old price,TRUE,https://www.ikea.com/sa/en/p/lerhamn-table-and-2-chairs-light-antique-stain-white-stain-vittaryd-beige-s39306288/,No,"        Table and 2 chairs,          74x74 cm",Nike Karlsson,,75,74
2805,409051,LISTERBY,Tables & desks,695,No old price,TRUE,https://www.ikea.com/sa/en/p/listerby-coffee-table-brown-00409051/,No,"        Coffee table,          140x60 cm",Henrik Preutz,,45,60
2020,10255307,FEJAN,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/fejan-chair-outdoor-foldable-white-10255307/,No,"        Chair, outdoor",K Hagberg/M Hagberg,42,89,44
845,79276388,LIXHULT,Cabinets & cupboards,409,No old price,TRUE,https://www.ikea.com/sa/en/p/lixhult-storage-combination-grey-white-dark-blue-s79276388/,No,"        Storage combination,          95x82 cm",Jon Karlsson,35,60,95
542,39291748,HYLLIS,Bookcases & shelving units,186,No old price,TRUE,https://www.ikea.com/sa/en/p/hyllis-shelving-units-with-covers-transparent-s39291748/,No,"        Shelving units with covers,          180x27x74-140 cm",IKEA of Sweden,27,,180
2594,69256574,GRÖNLID,Sofas & armchairs,6000,No old price,TRUE,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-5-seat-kimstad-dark-brown-s69256574/,No,"        Corner sofa, 5-seat",Francis Cayouette,98,104,322
2357,10322316,EKTORP,Sofas & armchairs,645,No old price,TRUE,https://www.ikea.com/sa/en/p/ektorp-cover-for-3-seat-sofa-with-chaise-longue-nordvalla-nordvalla-dark-grey-10322316/,Yes,        Cover for 3-seat sofa,IKEA of Sweden,,,
1356,10461010,BORTBERG,Chairs,49,No old price,TRUE,https://www.ikea.com/sa/en/p/bortberg-lumbar-cushion-black-10461010/,No,"        Lumbar cushion,          31x23 cm","104.610.10 The lumbar cushion helps you to sit up straight, which relieves both the spine and lower back.You easily attach the lumbar cushion to your favourite chair with the sewn-on touch-and-close fastening.Fixed cover.",,,23
1196,90211531,BÖRJE,Chairs,175,No old price,TRUE,https://www.ikea.com/sa/en/p/boerje-chair-white-kungsvik-sand-90211531/,No,        Chair,IKEA of Sweden,55,100,44
1102,40429014,NORRÅKER,Café furniture,476,SR 595,TRUE,https://www.ikea.com/sa/en/p/norraker-bar-table-birch-40429014/,Yes,"        Bar table,          74x74 cm",J Karlsson/N Karlsson,,102,74
