product_page_link,product_product_name,product_product_size,product_describe,product_price_now,product_img,product_product_size_url
https://www.ikea.com/sa/en/p/trofast-storage-combination-with-box-trays-white-turquoise-s09480378/,TROFAST,34x44x56 cm,"Storage combination with box/trays, white/turquoise,",SR 215,https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1085063_pe859989_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1102763_pe867123_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1103225_pe867216_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1095742_pe864007_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1104193_pe867547_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1104111_pe867536_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-with-box-trays-white-turquoise__1216329_pe912387_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/hemnes-bed-frame-with-4-storage-boxes-white-stain-s29194427/,HEMNES,140x200 cm,"Slatted bed base,",SR 300,https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__1154513_pe886108_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__1101550_pe866727_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__1101551_pe866677_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__1101576_pe866750_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__1154507_pe886084_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__1154506_pe886111_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__0860752_pe566720_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain__0742588_ph159783_s5.jpg?f=s,https://www.ikea.com/sa/en/p/lindbaden-slatted-bed-base-pine-s09496237/
https://www.ikea.com/sa/en/p/platsa-wall-storage-white-fonnes-white-s29320652/,PLATSA,240x42x40 cm,"Wall storage, white Fonnes/white,","SR 1,640",https://www.ikea.com/sa/en/images/products/platsa-wall-storage-white-fonnes-white__0771128_pe755668_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/platsa-wall-storage-white-fonnes-white__0771127_pe755669_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/smastad-platsa-chest-of-3-drawers-white-white-s99387521/,SMÅSTAD / PLATSA,60x57x63 cm,"Chest of 3 drawers, white/white,",SR 680,https://www.ikea.com/sa/en/images/products/smastad-platsa-chest-of-3-drawers-white-white__0922416_pe788159_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-chest-of-3-drawers-white-white__0937350_pe793659_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-chest-of-3-drawers-white-white__0938626_pe794200_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-chest-of-3-drawers-white-white__0938624_pe794198_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass-s69408676/,BESTÅ,180x42x192 cm,"TV storage combination/glass doors, white/Smeviken/Kabbarp white clear glass,","SR 3,605",https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0895725_pe782389_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0996048_pe822012_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0996047_pe822011_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0827671_pe776457_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0827672_pe776468_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0917477_pe785756_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0917478_pe785759_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/besta-tv-storage-combination-glass-doors-white-smeviken-kabbarp-white-clear-glass__0891065_pe782239_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/kivik-footstool-grann-bomstad-black-00519506/,KIVIK,,"Footstool, Grann/Bomstad black","SR 1,695",https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__0137865_pe296633_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__0776858_pe758319_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__0841587_pe601877_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__0776857_pe758318_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__0776860_pe758321_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__0776859_pe758320_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kivik-footstool-grann-bomstad-black__1058288_pe849220_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-underframe-grey-wood-effect-black-s89442679/,KALLAX,147x94 cm,"Shelving unit with underframe, grey wood effect/black,",SR 649,https://www.ikea.com/sa/en/images/products/kallax-shelving-unit-with-underframe-grey-wood-effect-black__1041429_pe841014_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kallax-shelving-unit-with-underframe-grey-wood-effect-black__1102382_pe866940_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/kallax-shelving-unit-with-underframe-grey-wood-effect-black__1063294_pe851317_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey-s89384660/,BERGMUND,75 cm,"Bar stool with backrest, white/Gunnared medium grey,",SR 465,https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__0926504_pe789291_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__0926505_pe789294_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__0926520_pe789305_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__0947870_pe798709_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__1052821_pe846437_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__0926437_pe789224_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/bergmund-bar-stool-with-backrest-white-gunnared-medium-grey__1052822_pe846438_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/espevaer-vesteroey-divan-bed-white-firm-light-blue-s69389654/,ESPEVÄR/VESTERÖY,180x200 cm,"Divan bed, white/firm light blue,","SR 3,165",https://www.ikea.com/sa/en/images/products/espevaer-vesteroey-divan-bed-white-firm-light-blue__0929615_pe790392_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/espevaer-vesteroey-divan-bed-white-firm-light-blue__0905196_pe783068_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/espevaer-vesteroey-divan-bed-white-firm-light-blue__0636200_pe697714_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/espevaer-vesteroey-divan-bed-white-firm-light-blue__0905192_pe783062_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/espevaer-vesteroey-divan-bed-white-firm-light-blue__0376298_pe553491_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/vejmon-coffee-table-black-brown-60136680/,VEJMON,90 cm,"Coffee table, black-brown,",SR 599,https://www.ikea.com/sa/en/images/products/vejmon-coffee-table-black-brown__0089492_pe221833_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vejmon-coffee-table-black-brown__0374263_ph121053_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vejmon-coffee-table-black-brown__0836749_pe601369_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vejmon-coffee-table-black-brown__0258128_pe402114_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vejmon-coffee-table-black-brown__0748983_pe745372_s5.jpg?f=s,
